City,Latitude,Longitude,Max_Temp,Humidity,Cloudiness,Wind_Speed,Country,Datetime
albany,42.6,-73.97,57.99,78,94,8.21,US,1603191216
santa rosalia,17.49,120.43,80.35,81,94,14.58,PH,1603191325
hasaki,35.73,140.83,57.2,82,20,4.7,JP,1603191220
georgetown,5.41,100.34,87.8,70,20,4.7,MY,1603191219
east london,65.0,-15.0,33.8,88,90,4.7,IS,1603191232
mandali,33.75,45.55,95.2,10,0,19.15,IQ,1603191366
hami,42.8,93.45,52.48,38,0,3.33,CN,1603191346
vaini,-21.2,-175.2,71.6,68,20,9.17,TO,1603191243
busselton,-33.65,115.33,66.0,47,17,14.03,AU,1603191214
qeshm,26.96,56.27,96.8,11,0,6.93,IR,1603191367
port elizabeth,-7.03,29.76,84.04,42,53,5.26,CD,1603191241
port alfred,-7.03,29.76,84.04,42,53,5.26,CD,1603191225
mar del plata,43.4,-4.01,70.0,56,100,16.11,ES,1603191238
jamestown,42.1,-79.24,50.0,100,90,4.7,US,1603191251
avarua,-21.21,-159.78,76.3,80,22,4.38,CK,1603191244
tuatapere,-46.13,167.68,48.0,79,93,3.67,NZ,1603191276
saskylakh,71.92,114.08,22.71,98,93,4.65,RU,1603191260
yuncheng,35.02,110.99,63.37,43,100,5.17,CN,1603191368
acapulco,16.86,-99.89,78.17,75,41,3.4,MX,1603191143
amapa,1.0,-52.0,78.66,75,91,3.56,BR,1603191360
coihaique,-45.58,-72.07,28.4,100,32,2.73,CL,1603191268
cape town,-36.41,-71.9,44.6,87,0,9.17,CL,1603191211
impfondo,1.64,18.07,95.95,39,81,1.92,CG,1603191369
upernavik,72.79,-56.15,32.34,89,100,9.82,GL,1603191370
itigi,-5.7,34.48,90.41,26,36,8.19,TZ,1603191370
gizo,-8.1,156.84,83.44,76,49,8.37,SB,1603191370
iglesias,39.31,8.54,70.0,68,75,16.11,IT,1603191370
tuktoyaktuk,69.45,-133.04,18.95,97,98,12.62,CA,1603191231
lisakovsk,52.54,62.49,62.44,29,100,14.63,KZ,1603191371
celestun,20.87,-90.4,78.98,82,0,8.7,MX,1603191372
chapais,49.78,-74.85,29.44,97,100,4.43,CA,1603191372
kashi,39.45,75.98,68.0,11,0,4.47,CN,1603191372
dunedin,-45.87,170.5,46.99,89,100,1.99,NZ,1603191346
puerto ayora,36.59,-6.23,75.0,68,100,17.22,ES,1603191223
fairbanks,64.84,-147.72,18.0,92,75,0.96,US,1603191091
chake chake,23.86,103.05,54.36,95,97,3.8,CN,1603191209
barrow,71.29,-156.79,26.6,86,90,8.05,US,1603191373
hithadhoo,-0.6,73.08,83.21,77,55,13.65,MV,1603191257
ribeira grande,42.75,-8.44,64.0,77,40,12.75,ES,1603191268
provideniya,64.38,-173.3,36.28,88,13,9.57,RU,1603191302
puerto cabezas,36.59,-6.23,75.0,68,100,17.22,ES,1603191223
choix,26.71,-108.32,76.33,59,0,2.89,MX,1603191374
saldanha,-33.01,17.94,68.0,45,0,8.05,ZA,1603191266
mahebourg,-20.41,57.7,80.6,65,40,12.75,MU,1603191284
tevriz,57.51,72.4,46.87,78,73,4.0,RU,1603191375
castro,-24.79,-50.01,64.96,85,65,5.37,BR,1603191025
iqaluit,63.75,-68.51,24.01,85,100,3.0,CA,1603191311
vladyslavivka,45.17,35.37,58.87,47,18,10.89,UA,1603191376
stratonion,40.51,23.82,69.01,46,0,5.95,GR,1603191376
butaritari,3.07,172.79,81.97,76,93,8.08,KI,1603191219
ancud,-41.87,-73.82,41.0,93,100,4.7,CL,1603191330
hinesville,31.85,-81.6,66.0,93,1,5.82,US,1603191264
yellowknife,62.46,-114.35,25.0,79,92,5.01,CA,1603191237
hilo,19.73,-155.09,71.6,78,1,5.82,US,1603191050
necochea,-38.55,-58.74,48.0,87,16,4.0,AR,1603191275
maur,30.08,75.25,94.39,10,0,7.52,IN,1603191377
tazovskiy,67.47,78.7,21.13,98,98,9.75,RU,1603191341
cagayan de tawi-tawi,6.97,118.51,82.81,77,100,13.49,PH,1603191378
hay river,52.07,-3.13,62.01,75,5,3.0,GB,1603191378
rajgarh,28.63,75.38,95.41,9,0,6.71,IN,1603191378
cabedelo,-6.98,-34.83,78.8,78,40,8.05,BR,1603191324
trelew,-43.25,-65.31,53.28,40,64,4.56,AR,1603191379
bethel,41.37,-73.41,55.99,93,90,3.09,US,1603191210
sao felix do xingu,20.51,76.21,83.64,64,6,6.87,IN,1603191379
omagari,39.45,140.48,50.0,81,0,4.7,JP,1603191380
leningradskiy,69.38,178.42,27.79,90,0,8.1,RU,1603191380
warri,5.52,5.75,86.81,66,96,4.97,NG,1603191248
zhanaozen,43.3,52.8,70.23,47,27,18.68,KZ,1603191381
komadi,47.0,21.5,59.0,41,0,1.12,HU,1603191382
dalby,-27.18,151.27,68.0,63,58,5.01,AU,1603191382
miri,4.41,114.01,84.2,74,40,2.24,MY,1603191382
lagoa,39.05,-27.98,63.14,67,5,26.89,PT,1603191218
egvekinot,66.32,-179.17,30.22,100,97,4.72,RU,1603191383
gannan,47.91,123.5,52.83,44,100,11.95,CN,1603191383
nanakuli,21.39,-158.15,80.6,74,40,10.29,US,1603191383
ilulissat,69.22,-51.1,39.2,79,75,13.87,GL,1603191231
kieta,-6.22,155.63,80.71,78,96,4.34,PG,1603191384
san quintin,13.3,-4.9,94.03,27,0,4.99,ML,1603191336
severo-kurilsk,50.68,156.12,39.52,71,15,20.22,RU,1603191245
qaanaaq,77.48,-69.36,27.16,84,67,8.55,GL,1603191222
karasburg,-28.02,18.75,73.13,21,0,13.98,NA,1603191385
bonthe,7.53,-12.51,84.87,69,67,8.66,SL,1603191385
namibe,-15.2,12.15,77.0,65,20,14.99,AO,1603191248
morros,-9.45,-46.3,83.75,40,68,9.95,BR,1603191385
natal,-5.79,-35.21,78.8,83,75,6.93,BR,1603191221
vila,42.03,-8.16,57.99,91,99,7.0,PT,1603191274
waipawa,-41.41,175.52,55.0,90,100,4.79,NZ,1603191386
jutai,-5.18,-68.9,73.47,85,89,2.19,BR,1603191386
sungairaya,0.7,108.9,82.09,77,59,3.89,ID,1603191387
leiyang,26.4,112.86,60.46,81,100,6.76,CN,1603191387
sitka,57.05,-135.33,39.2,93,90,5.82,US,1603191262
borovoy,55.43,86.08,37.4,86,75,4.47,RU,1603191387
gayny,60.31,54.32,35.33,92,99,5.17,RU,1603191388
broome,42.25,-75.83,60.01,93,90,10.29,US,1603191388
kruisfontein,-34.0,24.73,71.01,45,88,13.0,ZA,1603191302
ipixuna,-1.76,-48.8,77.0,94,99,4.7,BR,1603191388
longyearbyen,78.22,15.64,24.8,68,20,9.17,SJ,1603191358
narsaq,60.92,-46.05,33.8,86,90,4.7,GL,1603191261
pangai,-19.8,-174.35,73.38,77,58,21.61,TO,1603191389
mitsamiouli,-11.38,43.28,81.32,65,4,4.56,KM,1603191173
aykhal,66.0,111.5,15.8,92,90,2.24,RU,1603191350
cururupu,-1.83,-44.87,84.25,65,52,8.48,BR,1603191312
evensk,61.95,159.23,36.01,84,100,8.75,RU,1603191390
malindi,-3.22,40.12,87.8,58,40,11.41,KE,1603191390
chuy,-33.7,-53.46,61.54,63,84,18.86,UY,1603191253
camana,-16.62,-72.71,62.26,76,64,5.79,PE,1603191391
oksfjord,70.24,22.35,37.4,84,75,3.36,NO,1603191391
sobolevo,54.43,31.9,39.78,72,81,16.51,RU,1603191392
bulawayo,-20.15,28.58,92.41,10,0,7.47,ZW,1603191392
duku,11.24,4.91,94.69,38,6,4.74,NG,1603191393
shubarkuduk,49.14,56.49,64.02,27,90,7.85,KZ,1603191393
mangan,27.52,88.53,74.25,53,29,2.26,IN,1603191393
airai,-8.93,125.41,63.39,93,38,1.83,TL,1603191220
xinyu,27.8,114.93,63.45,77,71,4.88,CN,1603191394
flin flon,48.5,6.66,60.8,59,99,11.41,FR,1603191352
sakakah,29.97,40.21,91.4,8,0,4.7,SA,1603191394
lander,42.83,-108.73,46.4,48,1,6.93,US,1603191394
nanortalik,60.14,-45.24,36.14,84,100,5.82,GL,1603191263
bafata,12.17,-14.75,92.34,63,81,1.41,GW,1603191395
smolenka,52.14,113.5,32.0,87,20,6.71,RU,1603191395
koungou,-12.73,45.2,86.0,62,3,5.82,YT,1603191395
bor,56.36,44.07,41.0,65,75,11.18,RU,1603191396
grindavik,63.84,-22.43,35.6,72,75,8.05,IS,1603191396
luderitz,-26.65,15.16,75.56,28,0,35.19,NA,1603191212
mapua,-41.25,173.1,52.0,83,60,1.99,NZ,1603191363
jaguarao,-32.57,-53.38,63.88,84,39,16.69,BR,1603191297
shingu,33.73,135.98,62.6,63,20,9.17,JP,1603191227
lebork,54.54,17.75,52.0,70,100,10.29,PL,1603191397
meulaboh,4.14,96.13,82.94,75,4,4.03,ID,1603191236
chokurdakh,70.63,147.92,14.58,97,97,2.8,RU,1603191263
antsohihy,-14.88,47.99,98.19,28,10,5.23,MG,1603191398
andenes,69.31,16.12,35.6,80,49,6.93,NO,1603191398
ojinaga,29.57,-104.42,71.6,53,1,9.17,MX,1603191398
san patricio,13.3,-4.9,94.03,27,0,4.99,ML,1603191235
victor harbor,42.98,-77.41,51.01,96,100,6.76,US,1603191399
bengkulu,-3.8,102.27,80.13,76,87,3.0,ID,1603191108
ploemeur,47.73,-3.43,63.0,82,94,13.87,FR,1603191280
kankaanpaa,61.8,22.42,34.0,86,6,3.36,FI,1603191399
san cristobal,13.3,-4.9,94.03,27,0,4.99,ML,1603191307
ulladulla,-35.35,150.47,59.0,82,20,4.7,AU,1603191400
tura,25.52,90.22,78.84,88,3,2.82,IN,1603191279
svetlaya,46.54,138.33,45.73,57,36,6.22,RU,1603191230
caravelas,-17.71,-39.25,76.23,84,97,7.92,BR,1603191235
nemuro,43.32,145.57,50.95,64,4,11.32,JP,1603191334
nesna,66.2,13.02,37.4,69,40,4.7,NO,1603191401
purranque,-40.92,-73.17,35.6,93,94,2.93,CL,1603191401
khatanga,71.97,102.5,8.69,96,86,7.7,RU,1603191227
new norfolk,6.65,-10.59,80.6,88,75,4.65,LR,1603191210
ponta do sol,38.73,-28.27,60.8,77,40,4.7,PT,1603191220
nabire,-3.37,135.48,78.96,81,100,2.84,ID,1603191402
otradnoye,59.78,30.82,39.2,64,75,11.18,RU,1603191402
santa rosa,17.49,120.43,80.35,81,94,14.58,PH,1603191403
san rafael,13.3,-4.9,94.03,27,0,4.99,ML,1603191403
lorengau,-2.02,147.27,82.2,70,99,2.89,PG,1603191322
borba,-4.39,-59.59,78.69,82,98,2.21,BR,1603191404
tasiilaq,65.61,-37.64,30.2,86,74,8.05,GL,1603191404
portland,45.52,-122.68,52.0,90,20,1.81,US,1603190702
tokur,53.13,132.9,22.75,97,68,4.72,RU,1603191404
gorontalo,0.54,123.06,77.77,81,100,4.07,ID,1603191263
turiacu,-1.66,-45.37,83.62,67,57,8.21,BR,1603191105
constitucion,-35.33,-72.42,51.01,69,0,7.02,CL,1603191252
isangel,-19.55,169.27,73.42,79,6,13.04,VU,1603191249
pontes e lacerda,-4.83,-43.37,82.4,69,43,4.7,BR,1603191405
batagay-alyta,67.8,130.41,12.87,95,100,1.34,RU,1603191405
torbay,47.67,-52.73,48.99,89,0,1.99,CA,1603191246
mana,5.66,-53.78,80.26,82,89,9.55,GF,1603191406
itarema,-2.92,-39.92,82.51,63,68,20.22,BR,1603191407
alofi,-19.06,-169.92,73.4,83,60,12.75,NU,1603190997
xihe,31.69,113.47,58.48,73,100,2.48,CN,1603191347
dumas,35.87,-101.97,45.0,93,1,11.77,US,1603191407
xiaolingwei,32.03,118.85,69.01,59,88,3.67,CN,1603191408
porto real,41.15,-8.61,64.4,88,20,14.99,PT,1603191319
dzerzhinsk,56.24,43.46,41.0,65,75,11.18,RU,1603191409
dina,52.93,-110.08,21.06,98,98,3.18,CA,1603191409
susanville,40.42,-120.65,45.0,52,1,3.36,US,1603191333
bukachacha,52.98,116.92,29.7,94,100,8.95,RU,1603191409
kamenka,51.32,42.77,50.76,44,0,15.39,RU,1603191409
kununurra,-15.77,128.73,93.2,46,69,13.87,AU,1603191410
deputatskiy,69.3,139.9,8.65,94,93,1.9,RU,1603191410
sisimiut,66.94,-53.67,37.31,92,100,19.73,GL,1603191410
sinnamary,5.38,-52.95,81.5,78,37,10.78,GF,1603191217
salalah,17.02,54.09,93.2,26,54,11.41,OM,1603191248
inhambane,-23.86,35.38,88.02,36,0,15.39,MZ,1603191116
hambantota,6.12,81.12,91.4,52,20,19.46,LK,1603191411
port macquarie,-7.03,29.76,84.04,42,53,5.26,CD,1603191320
lucapa,-8.42,20.74,92.32,41,0,2.35,AO,1603191411
teya,60.38,92.63,28.22,96,93,3.24,RU,1603191412
lompoc,34.64,-120.46,55.4,100,90,5.82,US,1603191099
ilo,-17.64,-71.34,62.24,79,86,5.21,PE,1603191412
lavrentiya,65.58,-171.0,33.67,86,0,4.97,RU,1603191233
thompson,55.74,-97.86,18.9,97,67,4.47,CA,1603191224
seoul,37.57,126.98,57.2,67,1,1.41,KR,1603191132
esperance,-33.87,121.9,60.8,93,75,13.87,AU,1603191061
nouadhibou,20.93,-17.03,84.2,45,9,11.41,MR,1603191258
touros,-5.2,-35.46,78.8,83,100,6.93,BR,1603191265
tautira,-17.73,-149.15,77.0,69,18,5.82,PF,1603191243
coquimbo,-29.95,-71.34,50.0,93,0,3.36,CL,1603191148
sistranda,63.73,8.83,39.2,69,75,17.22,NO,1603191414
vila velha,42.03,-8.16,57.99,91,99,7.0,PT,1603191274
ahipara,-35.17,173.17,55.85,89,39,4.99,NZ,1603191312
hofn,64.25,-15.21,37.78,73,73,6.46,IS,1603191239
sampit,-2.53,112.95,79.43,79,50,2.77,ID,1603191298
souillac,-20.52,57.52,80.6,65,40,12.75,MU,1603191247
cacoal,-11.44,-61.45,76.78,72,85,2.35,BR,1603191410
mayo,38.89,-76.51,62.6,100,90,3.36,US,1603191304
maniago,46.17,12.71,61.0,82,40,5.82,IT,1603191416
suntar,62.14,117.63,22.93,96,97,4.47,RU,1603191416
yazman,29.12,71.74,98.56,11,0,5.23,PK,1603191416
codrington,-38.27,141.97,49.33,86,100,5.23,AU,1603191417
moose factory,43.66,-110.72,48.2,49,90,23.04,US,1603191345
caibarien,22.52,-79.47,71.6,100,75,5.82,CU,1603191417
verkhnevilyuysk,63.45,120.32,21.22,97,96,4.92,RU,1603191417
kharan,28.58,65.42,82.58,11,0,6.53,PK,1603191418
pangnirtung,66.15,-65.71,22.89,92,100,8.14,CA,1603191338
yakeshi,49.28,120.73,44.92,56,99,7.96,CN,1603191418
kaseda,31.42,130.32,62.6,63,20,8.05,JP,1603191419
livadiya,42.87,132.68,53.87,74,0,4.32,RU,1603191419
fortuna,40.6,-124.16,53.01,100,90,9.17,US,1603191261
prince rupert,52.97,-108.38,20.25,95,100,3.33,CA,1603191419
banda aceh,25.48,80.33,91.31,22,0,5.99,IN,1603191419
ust-omchug,61.15,149.63,13.32,89,32,3.15,RU,1603191325
muravlenko,63.79,74.52,27.82,97,99,6.02,RU,1603191420
inongo,-1.95,18.27,76.98,86,90,7.29,CD,1603191420
vyazemskiy,47.54,134.75,40.59,70,0,5.86,RU,1603191420
kodiak,57.79,-152.41,41.0,80,75,6.93,US,1603191215
birao,10.28,22.79,95.16,33,2,4.63,CF,1603191421
puerto asis,36.59,-6.23,75.0,68,100,17.22,ES,1603191223
san vicente,13.3,-4.9,94.03,27,0,4.99,ML,1603191307
saint-pierre,-21.34,55.48,82.4,58,20,18.34,RE,1603191240
codajas,-3.84,-62.06,76.5,87,100,1.07,BR,1603191422
halifax,44.65,-63.57,60.01,100,90,5.82,CA,1603191422
bathsheba,13.22,-59.52,75.2,94,20,3.36,BB,1603191252
palmer,42.16,-72.33,53.6,93,90,3.36,US,1603191301
mount isa,53.66,-1.85,61.0,81,52,5.01,GB,1603191323
tilichiki,60.47,166.1,33.67,100,100,6.78,RU,1603191264
port augusta,-7.03,29.76,84.04,42,53,5.26,CD,1603191320
port keats,-7.03,29.76,84.04,42,53,5.26,CD,1603191293
aden,12.78,45.04,87.49,53,0,15.17,YE,1603190968
kerur,16.02,75.57,82.85,65,71,7.05,IN,1603191424
kirakira,-10.45,161.92,79.11,82,100,11.81,SB,1603191424
aksarka,66.56,67.8,17.89,97,99,2.19,RU,1603191356
grand river south east,38.88,-109.5,50.0,29,1,3.36,US,1603191151
mindelo,16.89,-24.98,86.0,70,75,24.16,CV,1603191424
aklavik,68.22,-135.01,18.43,94,97,10.29,CA,1603191233
faanui,-16.48,-151.75,78.44,81,94,17.83,PF,1603191234
victoria,22.29,114.16,80.01,71,0,13.0,HK,1603190981
beringovskiy,63.05,179.32,40.96,93,98,11.68,RU,1603191310
kedgwick,47.64,-67.34,44.15,96,100,4.59,CA,1603191426
monzon,41.91,0.19,66.2,72,75,19.46,ES,1603191426
tutoia,-2.76,-42.27,79.77,72,75,13.85,BR,1603191426
omboue,-1.57,9.26,81.16,75,96,8.66,GA,1603191427
batagay,67.63,134.63,9.46,94,100,3.98,RU,1603191427
mangrol,21.12,70.12,85.91,71,30,12.75,IN,1603191427
matamoros,25.53,-103.25,68.0,34,5,1.25,MX,1603191380
pitimbu,-7.47,-34.81,78.8,78,40,8.05,BR,1603191427
oxapampa,-10.58,-75.4,56.26,88,97,2.77,PE,1603191428
gazanjyk,39.24,55.52,83.86,12,0,6.8,TM,1603191428
alghero,40.56,8.32,68.0,60,2,3.36,IT,1603191428
wronki,52.71,16.38,55.0,66,100,11.41,PL,1603191429
mihijam,23.85,86.88,85.17,54,91,5.99,IN,1603191429
roald,62.58,6.13,42.8,75,75,14.99,NO,1603191429
shitkino,56.37,98.35,30.81,98,100,5.68,RU,1603191429
ondangwa,-17.92,15.95,102.2,7,0,10.29,NA,1603191430
lasa,46.62,10.7,55.99,86,40,9.17,IT,1603191430
tiksi,71.69,128.87,13.08,93,98,17.36,RU,1603191261
baiao,-2.79,-49.67,78.1,83,100,3.87,BR,1603191430
alto araguaia,31.65,-95.07,71.01,94,90,4.54,US,1603191430
ninotsminda,41.26,43.59,60.8,38,75,2.24,GE,1603191431
burnie,-41.07,145.92,51.01,71,72,8.99,AU,1603191431
toppenish,46.38,-120.31,50.0,81,1,3.47,US,1603191208
kant,27.8,79.8,86.88,24,0,6.62,IN,1603191431
sidi ali,5.08,19.88,89.28,58,46,3.04,CF,1603191432
guerrero negro,17.67,-100.0,64.4,72,58,1.77,MX,1603191315
atbasar,51.8,68.33,62.04,38,0,10.58,KZ,1603191432
kaitangata,-46.28,169.85,46.99,89,94,1.99,NZ,1603191297
tricase,39.93,18.36,68.0,63,20,15.73,IT,1603191433
vila franca do campo,42.03,-8.16,57.99,91,99,7.0,PT,1603191274
vadso,70.07,29.75,35.6,80,75,14.99,NO,1603191434
borgarnes,64.54,-21.92,30.2,92,3,3.36,IS,1603191434
kulachi,31.93,70.46,94.64,9,0,4.25,PK,1603191434
awjilah,29.11,21.29,83.46,38,21,8.14,LY,1603191295
siguiri,11.67,-9.5,89.89,51,26,3.51,GN,1603191435
tongchuan,35.08,109.09,59.61,34,100,5.12,CN,1603191435
bowmore,34.94,-79.3,57.2,93,1,5.59,US,1603191435
kahului,20.89,-156.47,75.2,64,1,3.36,US,1603191265
sorland,67.67,12.69,39.2,69,40,11.41,NO,1603191212
barsovo,61.17,73.17,33.8,100,90,4.47,RU,1603191436
pemba,-12.97,40.52,81.1,64,11,8.75,MZ,1603191306
bambous virieux,-20.26,57.41,80.6,65,40,12.75,MU,1603191224
namatanai,-3.67,152.43,80.29,77,79,1.52,PG,1603191316
wenling,28.37,121.36,65.44,77,15,11.83,CN,1603191437
khambhaliya,22.21,69.67,89.19,59,37,11.27,IN,1603191437
takoradi,4.88,-1.76,80.96,81,67,9.01,GH,1603191242
lewiston,44.1,-70.21,52.0,100,90,5.82,US,1603191316
tsabong,-26.02,22.4,90.28,11,0,14.94,BW,1603191437
haimen,23.19,116.61,78.8,69,75,6.71,CN,1603191438
shelburne,44.08,-80.2,41.0,96,100,7.31,CA,1603191438
hearst,49.68,-83.67,26.38,96,43,3.67,CA,1603191438
tabuk,17.42,121.44,75.16,93,100,12.97,PH,1603191438
tartagal,-22.52,-63.8,78.03,50,0,1.41,AR,1603191439
husavik,66.04,-17.34,26.6,92,98,4.7,IS,1603191291
vysokogornyy,50.12,139.15,26.65,90,0,3.27,RU,1603191439
komsomolskiy,40.43,71.72,73.4,25,0,6.93,UZ,1603191317
balkanabat,39.51,54.37,83.08,15,0,10.8,TM,1603191439
risalpur,34.06,71.99,86.0,33,0,6.93,PK,1603191440
rio branco,38.3,21.78,71.6,49,20,11.41,GR,1603191440
majene,-3.54,118.97,81.91,77,13,7.29,ID,1603191440
cabo san lucas,-8.28,-35.03,82.4,65,20,11.41,BR,1603191221
russell,32.35,-85.2,62.6,93,1,3.36,US,1603191441
tezu,27.92,96.17,77.25,77,36,1.86,IN,1603191441
lakes entrance,61.61,-149.31,26.6,85,75,3.36,US,1603191441
kavieng,-2.57,150.8,82.62,72,98,4.83,PG,1603191257
halvad,23.02,71.18,92.88,47,68,6.26,IN,1603191442
miraflores,19.22,-98.81,57.2,71,90,2.37,MX,1603191442
pauini,-7.71,-66.98,74.08,77,74,1.83,BR,1603191264
misratah,32.38,15.09,73.6,52,22,7.49,LY,1603191383
sijunjung,-0.69,100.95,78.37,82,53,1.61,ID,1603191442
naryan-mar,67.67,53.09,26.76,96,100,2.13,RU,1603191443
shepsi,44.04,39.15,63.59,55,100,10.38,RU,1603191443
kathmandu,27.72,85.32,75.2,64,40,11.41,NP,1603191234
porto novo,41.15,-8.61,64.4,88,20,14.99,PT,1603191302
pevek,69.7,170.31,29.86,93,55,14.03,RU,1603191280
aitape,-3.14,142.35,80.44,76,62,1.72,PG,1603191444
hovd,48.01,91.64,33.06,77,61,2.62,MN,1603191444
yurino,56.29,46.3,39.2,64,75,17.9,RU,1603191444
pinega,64.7,43.39,29.41,97,100,8.23,RU,1603191445
minas de barroteran,-34.38,-55.24,53.6,71,100,11.41,UY,1603191445
dibulla,11.27,-73.31,76.96,77,84,3.31,CO,1603191445
marienburg,54.04,19.03,52.0,100,100,10.67,PL,1603191310
barkly west,-36.93,143.2,51.24,89,100,4.52,AU,1603191445
poum,-20.23,164.02,75.67,68,29,8.23,NC,1603191277
jijiga,9.35,42.8,81.68,16,0,13.67,ET,1603191266
date,42.47,140.87,51.49,59,0,6.73,JP,1603191446
dali,25.7,100.18,58.95,87,99,1.92,CN,1603191446
cockburn town,-32.08,141.0,66.2,29,96,5.82,AU,1603191447
glenluce,54.88,-4.81,55.99,95,82,5.01,GB,1603191447
boguchar,49.94,40.55,53.13,41,0,14.38,RU,1603191447
kokopo,-4.35,152.26,79.05,81,100,3.15,PG,1603191263
bilibino,68.05,166.44,18.03,94,100,2.08,RU,1603191448
juneau,58.3,-134.42,39.0,93,90,10.29,US,1603191448
berdigestyakh,62.1,126.7,23.4,97,100,2.84,RU,1603191249
marfino,55.7,37.38,41.0,86,75,20.13,RU,1603191448
tateyama,34.98,139.87,64.4,72,20,10.29,JP,1603191449
syracuse,37.09,15.28,69.8,52,52,2.24,IT,1603191449
chambas,22.19,-78.91,73.4,100,88,3.36,CU,1603191449
talnakh,69.49,88.4,10.4,92,81,6.71,RU,1603191343
asau,46.43,26.4,55.99,43,20,4.7,RO,1603191272
lago da pedra,8.27,-12.15,86.27,64,90,3.53,SL,1603191450
sao francisco,20.51,76.21,83.64,64,6,6.87,IN,1603191345
sechura,-5.56,-80.82,63.68,84,39,7.09,PE,1603191450
hokitika,-42.72,170.97,46.8,83,0,4.18,NZ,1603191450
alberton,46.82,-64.07,50.86,88,100,10.07,CA,1603191450
chongwe,-15.33,28.68,91.4,10,0,5.82,ZM,1603191451
barreirinhas,-2.75,-42.83,79.95,71,89,11.86,BR,1603191451
wawa,9.9,4.42,90.46,52,51,4.32,NG,1603191451
vardo,70.37,31.11,35.6,93,75,27.51,NO,1603191281
avera,33.19,-82.53,57.2,91,1,4.7,US,1603191303
marsh harbour,53.65,-1.81,61.0,81,52,5.01,GB,1603191452
cap malheureux,49.27,-1.21,60.8,87,75,17.22,FR,1603191452
carballo,43.21,-8.69,64.99,72,93,13.87,ES,1603191452
hirado,33.36,129.55,68.0,32,0,12.75,JP,1603191452
barmer,25.75,71.38,96.48,22,0,9.15,IN,1603191453
usak,38.5,29.42,62.6,59,40,4.7,TR,1603191453
michigan city,44.25,-85.5,30.2,100,90,4.23,US,1603191453
almaznyy,48.04,40.05,55.4,36,20,8.95,RU,1603191314
biltine,14.53,20.92,98.91,9,0,12.71,TD,1603191226
beroroha,-21.67,45.17,104.49,13,0,5.08,MG,1603191454
coari,-4.08,-63.14,76.55,87,100,0.74,BR,1603191454
alenquer,-1.94,-54.74,80.6,83,94,9.17,BR,1603191455
storslett,69.77,21.02,30.2,80,20,5.82,NO,1603191455
rio grande,38.3,21.78,71.6,49,20,11.41,GR,1603191277
port hedland,-7.03,29.76,84.04,42,53,5.26,CD,1603191225
shizunai,42.33,142.37,52.14,58,1,9.98,JP,1603191455
yazd,31.9,54.37,80.6,7,0,6.93,IR,1603191455
salinopolis,-0.61,-47.36,82.9,74,89,14.0,BR,1603191133
ystad,55.43,13.82,51.8,66,100,17.22,SE,1603191456
